city_ascii,lat,lng,population
Cangzhou,38.3047,116.8387,7300783
Riyadh,24.6500,46.7100,7237000
Santiago,-33.4372,-70.6506,7171000
Zhumadian,33.0140,114.0220,7008427
Zhanjiang,21.2701,110.3575,6981236
Rangoon,16.7950,96.1600,6874000
Yancheng,33.3500,120.1569,6709629
Bijie,27.2840,105.2920,6686100
Xingtai,37.0717,114.5048,6645766
Hengyang,26.8940,112.5720,6645243
Shaoyang,27.2395,111.4679,6563520
Surabaya,-7.2458,112.7378,6556000
Surat,21.2050,72.8400,6538000
Quanzhou,24.8744,118.6757,6480000
Shangrao,28.4551,117.9431,6435300
Zunyi,27.7220,107.0310,6270700
Madrid,40.4169,-3.7033,6211000
Baghdad,33.3153,44.3661,6183000
Maoming,21.6627,110.9255,6174050
Miami,25.7840,-80.2101,6113982
Xinyang,32.1490,114.0910,6109106
Houston,29.7860,-95.3885,6046392
Singapore,1.3000,103.8000,5983000
Prayagraj,25.4358,81.8464,5954391
Huanggang,30.4537,114.8724,5882719
Dalian,38.9000,121.6000,5871474
Ankara,39.9300,32.8500,5864049
Dallas,32.7935,-96.7667,5843632
Qingdao,36.0669,120.3827,5818255
Yulin,22.6540,110.1810,5796766
Liaocheng,36.4559,115.9852,5789863
Douala,4.0500,9.7000,5768400
Qujing,25.4910,103.7960,5765775
Nangandao,35.3036,113.9268,5708191
Addis Ababa,9.0300,38.7400,5704000
Philadelphia,40.0077,-75.1339,5696588
Toronto,43.7417,-79.3733,5647656
Zhengzhou,34.7640,113.6840,5621593
Nanchong,30.8372,106.1106,5607565
Jinan,36.6702,117.0207,5606374
Giza,29.9870,31.2118,5598402
Saint Petersburg,59.9375,30.3086,5597763
Jieyang,23.5510,116.3727,5577814
Dezhou,37.4360,116.3590,5568235
Nairobi,-1.2864,36.8172,5545000
Guadalajara,20.6767,-103.3475,5525000
Tai'an,36.2020,117.0870,5472217
Dazhou,31.2093,107.4678,5385422
Belo Horizonte,-19.9281,-43.9419,5328000
Suzhou,33.6480,116.9640,5324476
Monterrey,25.6844,-100.3181,5324281
Yongzhou,26.4200,111.6130,5289824
Changde,29.0310,111.6990,5279102
Xiangyang,32.0100,112.1220,5260951
Atlanta,33.7628,-84.4220,5211164
Pudong,31.2347,121.5064,5187200
Washington,38.9047,-77.0163,5146120
Zhaotong,27.3380,103.7170,5092611
Zhangzhou,24.5130,117.6470,5054328
Yueyang,29.3647,113.1309,5051922
Melbourne,-37.8142,144.9631,5031195
Yichun,27.8160,114.4170,5007702
Abidjan,5.3364,-4.0267,4980000
Guilin,25.2750,110.2960,4931137
Pingdingshan,33.7666,113.1926,4904701
Alexandria,31.1975,29.8925,4870000
Bozhou,33.8463,115.7786,4850657
Sydney,-33.8667,151.2000,4840600
Barcelona,41.3833,2.1833,4800000
Yuncheng,35.0267,111.0070,4774508
Cape Town,-33.9253,18.4239,4770313
Changsha,28.2280,112.9390,4766296
Suqian,33.9630,118.2750,4719178
Jeddah,21.5428,39.1728,4697000
Weinan,34.5206,109.4710,4688744
Berlin,52.5200,13.4050,4679500
Chenzhou,25.7700,113.0160,4667134
Jiangmen,22.5789,113.0815,4630300
Mianyang,31.4680,104.6790,4613862
Jiujiang,29.6610,115.9540,4600276
Huaihua,27.5698,110.0016,4587594
Huanglongsi,34.7950,114.3450,4564900
Taizhou,32.4567,119.9229,4512762
Belahi,26.4000,86.2500,4487379
Yibin,28.7520,104.6430,4471896
Ji'an,27.0912,114.9668,4469176
Yangzhou,32.3944,119.4128,4459760
Kunming,25.0464,102.7094,4422686
Changchun,43.8970,125.3260,4408154
Lu'an,31.7360,116.5200,4393699
Xinpu,34.5966,119.2214,4393482
Langfang,39.5383,116.6835,4358839
Boston,42.3188,-71.0852,4355184
Urumqi,43.8225,87.6125,4335017
Suzhou,31.3000,120.6194,4330000
Guigang,23.1120,109.5990,4316262
Shantou,23.3540,116.6820,4312192
Jiangguanchi,34.0370,113.8520,4307488
Kabul,34.5253,69.1783,4273156
Xiaoganzhan,30.9180,113.9570,4270371
Bamako,12.6458,-7.9922,4227569
Kano,12.0000,8.5167,4224966
Luzhou,28.8710,105.4420,4218427
Hefei,31.8206,117.2273,4216940
Hengshui,37.7390,115.6690,4212933
Fortaleza,-3.7275,-38.5275,4167996
Anqing,30.5318,117.1153,4165284
Zhangjiakou,40.7690,114.8860,4118908
Zhaoqing,23.0500,112.4667,4113594
Shijiazhuang,38.0425,114.5100,4098243
Ningbo,29.8603,121.6245,4087523
Qiqihar,47.3549,123.9182,4067489
Phoenix,33.5722,-112.0892,4065338
Liuzhou,24.3278,109.4278,4041700
Chifeng,42.2550,118.8825,4035967
Xiaoxita,30.6920,111.2870,4017607
Amman,31.9497,35.9328,4007526
Linfen,36.0880,111.5190,3976481
Xianyang,34.3299,108.7088,3959842
Chuzhou,32.2560,118.3330,3937868
Kumasi,6.7000,-1.6250,3903480
Zhuzhou,27.8290,113.1330,3902738
Taiyuan,37.8704,112.5497,3875053
Qingyuan,23.6820,113.0560,3874000
Meizhou,24.2890,116.1220,3873239
Yiyang,28.5549,112.3560,3851564
Nanning,22.8167,108.3275,3837978
Harbin,45.7576,126.6409,3830000
Loudi,27.6998,111.9944,3826996
Abuja,9.0667,7.4833,3770000
Yokohama,35.4442,139.6381,3757630
Suihua,46.6540,126.9690,3756167
Binzhou,37.3830,117.9710,3748474
Zaozhuang,34.8109,117.3238,3729140
Detroit,42.3834,-83.1024,3716929
Xiamen,24.4796,118.0889,3707090
Mashhad,36.3264,59.5433,3700000
Montreal,45.5089,-73.5617,3675219
Fuzhou,26.0743,119.2964,3671192
Wuhu,31.3526,118.4331,3644420
Medan,3.5894,98.6739,3632000
Yulinshi,38.2858,109.7341,3624750
Fuzhou,27.9490,116.3580,3614866
Wenzhou,27.9938,120.6993,3604446
Changzhou,31.8110,119.9740,3601079
Puyang,35.7627,115.0292,3598740
Nanchang,28.6830,115.8580,3576547
Baicheng,23.9030,106.6190,3571505
Seattle,47.6211,-122.3244,3555253
Ibadan,7.3964,3.9167,3552000
Jiaozuo,35.2157,113.2419,3521078
Nadampalaiyam,11.0125,76.9714,3458045
Deyang,31.1270,104.3980,3456161
Busan,35.1800,129.0750,3453198
Hechi,24.6930,108.0850,3417945
Tangshan,39.6294,118.1739,3399231
Lucknow,26.8500,80.9500,3382000
San Francisco,37.7558,-122.4449,3364862
Boankra,6.6919,-1.4051,3348000
Dubai,25.2631,55.2972,3331420
Anshan,41.1080,122.9940,3325372
Guozhen,34.3609,107.1751,3321853
Baojishi,34.3630,107.2380,3321853
Qinzhou,21.9810,108.6540,3302238
Guiyang,26.6470,106.6300,3299724
Wuxi,31.5667,120.2833,3245179
Kannankulam,10.5200,76.2100,3243170
Caracas,10.4806,-66.9036,3242000
Kotla Qasim Khan,32.5833,73.7500,3219375
Casablanca,33.5333,-7.5833,3215935
Hanzhong,33.0664,107.0232,3211462
Shiyan,32.6290,110.7987,3209004
Guang'an,30.4564,106.6326,3205476
Faisalabad,31.4167,73.0911,3203846
Changzhi,36.1950,113.1170,3180884
Tongren,27.7316,109.1895,3168800
Bengbu,32.9170,117.3890,3164467
Leshan,29.5520,103.7660,3160168
Santa Cruz de la Sierra,-17.7892,-63.1975,3151676
Neijiang,29.5802,105.0580,3140678
Zhenjiang,32.1880,119.4240,3113384
Qinhuangdao,39.8882,119.5202,3107400
Bursa,40.1833,29.0500,3101833
Tashkent,41.3111,69.2797,3095498
Guayaquil,-2.1900,-79.8875,3094420
Jaipur,26.9000,75.8000,3073350
Lanzhou,36.0606,103.8268,3067141
Ouagadougou,12.3686,-1.5275,3063271
Athens,37.9842,23.7281,3059764
San Diego,32.8313,-117.1222,3057778
Guatemala City,14.6417,-90.5133,3014000
Kuwait City,29.3697,47.9783,2989000
Qincheng,34.5815,105.7248,2984659
Izmir,38.4200,27.1400,2965900
Quezon City,14.6500,121.0475,2960048
Kyiv,50.4500,30.5233,2952301
Kottarassheri,10.7750,76.6510,2952254
Meishan,30.0771,103.8484,2950545
Incheon,37.4833,126.6333,2936117
Ningde,26.6662,119.5477,2910000
Zhongshan,22.5170,113.3925,2909633
Minneapolis,44.9635,-93.2678,2906807
Tampa,27.9945,-82.4447,2906035
Putian,25.4526,119.0078,2900000
Mbuji-Mayi,-6.1500,23.6000,2892000
Tongliao,43.6540,122.2430,2873168
Chaoyang,41.5710,120.4530,2872857
Hohhot,40.8420,111.7490,2866615
Pyongyang,39.0167,125.7475,2863000
Shaoguan,24.8110,113.5970,2855131
Taichung,24.1439,120.6794,2850285
Cali,3.4206,-76.5222,2838333
Heyuan,23.7443,114.7002,2837686
Wuzhou,23.4767,111.2790,2820977
Pretoria,-25.7461,28.1881,2818100
Suining,30.5330,105.5930,2814196
Omdurman,15.6835,32.4629,2805396
Weihai,37.5133,122.1205,2804771
Rizhao,35.4170,119.5270,2801013
Malang,-7.9800,112.6200,2795209
Stuttgart,48.7775,9.1800,2787724
Daqing,46.5890,125.1040,2781562
Rome,41.8931,12.4828,2748109
Kaohsiung,22.6150,120.2975,2737660
Brooklyn,40.6501,-73.9496,2736074
Xiangtan,27.8313,112.9454,2726181
Bazhou,31.8680,106.7480,2712894
Handan,36.6010,114.4870,2708015
Brisbane,-27.4678,153.0281,2706966
Jinzhou,41.1290,121.1480,2703853
Denver,39.7620,-104.8758,2691349
Xinzhou,38.4160,112.7340,2689668
Nanping,26.6418,118.1774,2680645
Gazipura,23.9234,90.3959,2674697
Shanwei,22.7872,115.3756,2672819
Maracaibo,10.6333,-71.6333,2658355
Chaozhou,23.6580,116.6220,2656600
Baotou,40.6213,109.9532,2650364
Longyan,25.0760,117.0170,2640000
Weifang,36.7080,119.1620,2636154
Huai'an,33.5510,119.1130,2632788
Zibo,36.8138,118.0550,2631647
Attadappa,11.8689,75.3555,2615266
Munich,48.1375,11.5750,2606021
Gulou,26.0865,119.2980,2606000
Birmingham,52.4800,-1.9025,2590363
Valencia,10.1833,-68.0000,2585202
Damascus,33.5020,36.2981,2584771
Chattogram,22.3350,91.8325,2581643
Brazzaville,-4.2667,15.2667,2557100
Yangjiang,21.8570,111.9830,2555600
Sanaa,15.3483,44.2064,2545000
Barmhan Kalan,19.1972,72.9722,2537000
Medellin,6.2308,-75.5906,2529403
Dingxi,35.6080,104.5920,2524097
Shaoxing,30.0511,120.5833,2521964
Yantai,37.4646,121.4478,2511053
Huizhou,23.1120,114.4160,2509243
Xuanzhou,30.9390,118.7590,2500063
Mirzapur,25.1460,82.5690,2496970
Hamburg,53.5500,10.0000,2496600
Taipei,25.0375,121.5625,2494813
Ankang,32.6854,109.0290,2493436
Zigong,29.3390,104.7790,2489256
Sanming,26.2634,117.6389,2486450
Toluca,19.2925,-99.6569,2476689
Huangshi,30.2011,115.0390,2469079
Yaounde,3.8667,11.5167,2440462
Zhuhai,22.2742,113.5719,2439585
Huludao,40.7110,120.8370,2434194
Baoshan,25.1120,99.1610,2431211
Mecca,21.4225,39.8261,2427924
Vancouver,49.2500,-123.1000,2426160
Lianshan,40.7523,120.8280,2426000
Beirut,33.8981,35.5058,2421354
Salvador,-12.9831,-38.4928,2417678
Bucharest,44.4325,26.1039,2412530
Longba,33.3702,104.9603,2407272
Nagpur,21.1497,79.0806,2405665
Queens,40.7498,-73.7976,2405464
Tieling,42.2237,123.7260,2388294
Yunfu,22.9152,112.0445,2383350
Bekasi,-6.2333,107.0000,2381053
Daegu,35.8717,128.6017,2376044
Ghaziabad,28.6700,77.4200,2375820
Luoyang,34.6197,112.4539,2372571
Luohe,33.5804,114.0166,2367490
Algiers,36.7325,3.0872,2364230
Anshun,26.2531,105.9476,2353100
Huainan,32.6314,117.0194,2333896
Depok,-6.3940,106.8225,2330333
Konya,37.8667,32.4833,2320241
Haiphong,20.8651,106.6838,2310280
Yanjiang,30.1290,104.6270,2308631
Guangyuan,32.4360,105.8440,2305657
Baku,40.3667,49.8352,2300500
Yingkou,40.6250,122.2190,2296540
Mudanjiang,44.5514,129.6329,2290208
Riverside,33.9381,-117.3949,2288508
Fukuoka,33.5900,130.4017,2286000
Nantong,31.9810,120.8940,2261382
Lincang,23.8840,100.0890,2257991
Las Vegas,36.2333,-115.2654,2256509
Haikou,20.0186,110.3488,2250000
Yuxi,24.3470,102.5270,2249502
Tangerang,-6.1703,106.6403,2237006
Supaul,26.1260,86.6050,2229076
Almaty,43.2400,76.9150,2228675
Vienna,48.2083,16.3725,2223236
Esfahan,32.6653,51.6703,2219343
Xining,36.6224,101.7804,2208708
Jincheng,35.4910,112.8520,2194545
Baltimore,39.3051,-76.6144,2189589
Dandong,40.1167,124.3833,2188436
Yan'an,36.6500,109.4940,2187009
Qinbaling,35.7091,107.6436,2179716
Gaoping,30.7824,106.1281,2174000
Awka,6.2069,7.0678,2171900
Taizhou,28.6557,121.4208,2162461
Ma'anshan,31.6690,118.5070,2159930
Jiamusi,46.8000,130.3190,2156505
Perth,-31.9558,115.8597,2141834
Gaziantep,37.0628,37.3792,2130432
Phnom Penh,11.5696,104.9210,2129371
St. Louis,38.6359,-90.2451,2127843
Mogadishu,2.0392,45.3419,2120000
Lishui,28.4680,119.9230,2116957
Kowloon,22.3167,114.1833,2108419
Cordoba,-31.4167,-64.1833,2106734
Zamboanga City,6.9042,122.0761,2100000
Rawalpindi,33.6000,73.0333,2098231
Havana,23.1367,-82.3589,2089532
Chongzuo,22.3770,107.3650,2088692
Portland,45.5371,-122.6500,2084045
Laibin,23.7501,109.2212,2074611
San Antonio,29.4632,-98.5238,2069843
Vadodara,22.3000,73.2000,2065771
Qingyang,24.7816,118.5517,2061600
Rajkot,22.3000,70.7833,2043000
Shangzhou,33.8734,109.9186,2041231
Vishakhapatnam,17.7042,83.2978,2035922
Shengli,37.4340,118.6746,2035338
Sanmenxia,34.7732,111.2004,2034872
Warsaw,52.2300,21.0111,2028000
Gujranwala,32.1567,74.1900,2027001
Hezhou,24.4042,111.5672,2007858
Aleppo,36.2319,37.1681,2003671
Tijuana,32.5250,-117.0333,2002000
Puning,23.2980,116.1660,1998619
Indore,22.7167,75.8472,1994397
Minsk,53.9006,27.5586,1992862
Karaj,35.8292,50.9675,1973470
Kananga,-5.8970,22.4488,1971704
Huaibei,33.9560,116.7980,1970265
Peshawar,34.0144,71.5675,1970042
Sacramento,38.5677,-121.4685,1962998
Sapporo,43.0619,141.3544,1959313
Tilburg,51.5572,5.0911,1944588
Austin,30.3005,-97.7522,1915031
Orlando,28.4773,-81.3370,1913597
Davao,7.0700,125.6000,1910167
Songjiang,31.0058,121.2333,1909713
Yinchuan,38.4850,106.2250,1901793
Abhepur,39.4100,116.3800,1895686
Thane,19.1972,72.9722,1886941
Multan,30.1978,71.4697,1871843
Port Harcourt,4.8242,7.0336,1865000
Fushun,41.8810,123.9570,1861372
Tainan,22.9833,120.1833,1856642
Pingliang,35.5424,106.6649,1848607
Siping,43.1668,124.3506,1814733
San Juan,18.3985,-66.0610,1809800
Pingxiang,27.6590,113.8870,1804805
Bhopal,23.2599,77.4126,1798218
Mosul,36.3667,43.1167,1792000
Diyarbakir,37.9100,40.2400,1791373
Lubumbashi,-11.6647,27.4794,1786397
Benin City,6.3333,5.6222,1780000
Curitiba,-25.4297,-49.2719,1773718
San Jose,37.3012,-121.8480,1771563
Shuyangzha,34.1299,118.7734,1770000
Adana,37.0000,35.3213,1765981
Quito,-0.2200,-78.5125,1763275
Agra,27.1800,78.0200,1760285
Peyanvilai,8.9000,77.9833,1750176
Lusaka,-15.4167,28.2833,1747152
Indianapolis,39.7771,-86.1458,1740984
Hyderabad City,25.3792,68.3683,1732693
Pimpri-Chinchwad,18.6186,73.8037,1729320
Maracay,10.2469,-67.5961,1723236
Masqat,23.6140,58.5911,1720000
Montevideo,-34.9056,-56.1842,1719453
Pittsburgh,40.4397,-79.9763,1712828
Cincinnati,39.1413,-84.5060,1704916
Manhattan,40.7834,-73.9662,1694263
Kansas City,39.1238,-94.5541,1686807
Budapest,47.4983,19.0408,1686222
Patna,25.5940,85.1376,1684222
Kampala,0.3136,32.5811,1680600
Beihai,21.4810,109.1200,1680000
Sanzhou,30.8200,108.4000,1680000
Cleveland,41.4764,-81.6805,1679247
Conakry,9.5092,-13.7122,1667864
Ximeicun,24.9612,118.3849,1663542
Caloocan City,14.6500,120.9700,1661584
Ecatepec,19.6097,-99.0600,1655015
Yushan,31.3220,120.9850,1652159
Fuxin,42.0220,121.6700,1647280
Novosibirsk,55.0500,82.9500,1633851
Bilaspur,22.0900,82.1500,1625502
Semarang,-6.9900,110.4225,1621384
Jingdezhen,29.2917,117.1986,1618979
Ludhiana,30.9100,75.8500,1618879
Liaoyang,41.2790,123.1760,1604580
Jiangyin,31.8390,120.2950,1595138
Valencia,39.4700,-0.3764,1595000
Shuozhou,39.3317,112.4329,1593444
Leon de los Aldama,21.1167,-101.6833,1579803
Columbus,39.9862,-82.9855,1578153
Puebla,19.0333,-98.1833,1576259
Bien Hoa,10.9500,106.8167,1575000
Chengtangcun,35.0833,117.1500,1574648
Yopougon,5.3748,-4.0867,1571065
Hebi,35.7480,114.2970,1565973
Shiraz,29.6100,52.5425,1565572
Dushanbe,38.5367,68.7800,1564700
Madurai,9.9252,78.1198,1561129
Huzhou,30.8925,120.0875,1558826
Harare,-17.8292,31.0522,1558823
Tabriz,38.0817,46.2992,1558693
Jamshedpur,22.7925,86.1842,1558000
Baicheng,45.6200,122.8380,1551378
San Jose,9.9325,-84.0800,1543000
Shaoyang,32.9120,119.8526,1542600
San Salvador,13.6989,-89.1914,1538525
Palembang,-2.9861,104.7556,1535952
Kawasaki,35.5167,139.7000,1531646
Kobe,34.6900,135.1956,1521707
Jiaxing,30.7470,120.7560,1518654
Zhangjiajie,29.1170,110.4790,1517027
Baiyin,36.5451,104.1389,1512110
Guiping,23.4000,110.0833,1511011
Changshu,31.6560,120.7530,1510100
Jixi,45.2950,130.9690,1502060
Xushan,30.1667,121.2333,1502000
Lome,6.1308,1.2153,1500000
Niamey,13.5150,2.1175,1496260
Gwangju,35.1653,126.8486,1490092
Recife,-8.0539,-34.8808,1488920
Nasik,19.9975,73.7898,1486053
Abu Dhabi,24.4667,54.3667,1483000
Onitsha,6.1667,6.7833,1483000
Amsterdam,52.3728,4.8936,1477213
Vijayawada,16.5193,80.6305,1476931
Zapopan,20.7167,-103.4000,1476491
Daejeon,36.3500,127.3850,1475221
Bronx,40.8501,-73.8662,1472654
Auckland,-36.8492,174.7653,1470100
Yekaterinburg,56.8356,60.6128,1468833
Wuwei,37.9290,102.6380,1464955
Jinhua,29.0790,119.6470,1463990
Kyoto,35.0117,135.7683,1463723
Pizhou,34.3980,117.8900,1458038
Yangshe,31.8767,120.5560,1447600
Dakar,14.6726,-17.4320,1438725
Charlotte,35.2083,-80.8303,1436613
Yucheng,30.0100,103.0415,1434603
Kayseri,38.7225,35.4875,1434357
Virginia Beach,36.7335,-76.0435,1431821
Rui'an,27.7833,120.6250,1424667
Muscat,23.6139,58.5922,1421409
Kharkiv,49.9925,36.2311,1421125
Pointe-Noire,-4.7975,11.8503,1420612
Medina,24.4700,39.6100,1411599
Sangereng,-6.2889,106.7181,1404785
Faridabad,28.4211,77.3078,1404653
Sofia,42.6979,23.3217,1404116
Ulaanbaatar,47.9214,106.9055,1396288
Adelaide,-34.9275,138.6000,1387290
Prague,50.0875,14.4214,1384732
Wenling,28.3667,121.3667,1366794
Copenhagen,55.6805,12.5615,1366301
Najafgarh,28.6125,76.9847,1365152
Lianjiang,21.7333,110.2833,1363470
Helsinki,60.1708,24.9375,1360075
Samsun,41.2903,36.3336,1356079
Milan,45.4669,9.1900,1354196
Antalya,36.8874,30.7075,1344000
Santiago,19.4572,-70.6889,1343423
Chizhou,30.6654,117.4916,1342764
Makassar,-5.1331,119.4136,1338663
Porto Alegre,-30.0328,-51.2300,1332845
Huangshan,29.7149,118.3376,1330565
Gaozhou,21.9244,110.8422,1328657
Barranquilla,10.9833,-74.8019,1326588
Al Basrah,30.5150,47.8100,1326564
Benxi,41.3039,123.7649,1326018
Saitama,35.8614,139.6456,1325843
Ahvaz,31.3047,48.6783,1325000
Guarulhos,-23.4667,-46.5333,1324781
Leizhou,20.9143,110.0967,1321091
Juarez,31.7450,-106.4850,1321004
Mandalay,21.9831,96.0844,1319452
Yangquan,37.8571,113.5804,1318505
Fuqing,25.7167,119.3833,1316000
Xintai,35.9090,117.7680,1315942
Wusong,30.9450,117.8110,1311726
Tongling,30.9456,117.8114,1311726
Calgary,51.0500,-114.0667,1306784
Meerut,28.9800,77.7100,1305429
Jacksonville,30.3322,-81.6749,1303156
Kuaidamao,41.7283,125.9397,1302778
Huazhou,21.6640,110.6396,1291668
Milwaukee,43.0642,-87.9675,1290221
Wuzhong,37.9978,106.1986,1284000
Belem,-1.4558,-48.5039,1280614
Cacuaco,-8.8053,13.2444,1279488
Rosario,-32.9575,-60.6394,1276000
Tangier,35.7767,-5.8039,1275428
Antananarivo,-18.9100,47.5250,1275207
Canagatan,18.0000,121.8000,1273219
Soweto,-26.2678,27.8585,1271628
Providence,41.8230,-71.4187,1270529
Xiantao,30.3280,113.4430,1268715
Jabalpur,23.1667,79.9333,1267564
Huaiyin,33.5819,119.0280,1264000
Yutan,28.2780,112.5520,1263332
Kazan,55.7964,49.1089,1259173
Bagam,1.1300,104.0531,1256610
Dayan,26.8552,100.2259,1253878
Comayaguela,14.0980,-87.2100,1250000
Brussels,50.8467,4.3525,1249597
Laiwu,36.1833,117.6667,1248636
Huazhou,32.6880,112.0870,1247807
Sharjah,25.3575,55.3908,1247749
Kalyan,19.2400,73.1300,1246381
Rucheng,32.2460,120.5910,1241700
Barquisimeto,10.0636,-69.3347,1240714
Yongcheng,33.9299,116.4500,1240382
Sumedang,-6.8400,107.9208,1240000
Can Tho,10.0333,105.7833,1237300
Suwon,37.2667,127.0167,1234300
Yiwu,29.3069,120.0753,1234015
Vasai-Virar,19.4700,72.8000,1221233
Campinas,-22.9009,-47.0573,1213792
Dadukou,26.5824,101.7184,1212203
Lingcheng,22.7080,110.3540,1211637
Shuangyashan,46.6762,131.1416,1208803
Nizhniy Novgorod,56.3269,44.0075,1204985
Panipat,29.3875,76.9700,1202811
Qom,34.6400,50.8764,1201158
Mombasa,-4.0500,39.6667,1200000
Hargeysa,9.5600,44.0650,1200000
Baidoa,3.1167,43.6500,1200000
Varanasi,25.3189,83.0128,1198491
Hiroshima,34.3914,132.4519,1198021
Chiang Mai,18.7953,98.9986,1198000
Belgrade,44.8178,20.4569,1197714
Maiduguri,11.8372,13.1542,1197497
Kalleli,9.2807,76.8697,1197412
Batam Centre,1.1272,104.0556,1196396
Pingdu,36.7769,119.9884,1191348
Rongcheng,26.2180,104.1030,1189813
Mbandaka,0.0478,18.2558,1187837
Xinyu,27.8186,114.9167,1186700
Doha,25.2867,51.5333,1186023
Shymkent,42.3167,69.5958,1184113
Tripoli,32.8872,13.1914,1183000
Srinagar,34.0900,74.7900,1180570
Nashville,36.1715,-86.7842,1178679
Chelyabinsk,55.1547,61.3758,1177058
Aurangabad,19.8800,75.3200,1175116
Cilacap,-7.7167,109.0170,1174964
Xinhualu,34.3964,113.7402,1172237
Salt Lake City,40.7776,-111.9311,1169033
Guankou,28.1637,113.6433,1168056
Bandar Lampung,-5.4500,105.2667,1166761
Dhanbad,23.7998,86.4305,1162472
Nay Pyi Taw,19.7475,96.1150,1160242
Aba,5.1167,7.3667,1160000
Jingling,30.6640,113.1670,1158640
Zhuji,29.7167,120.2333,1157938
Tegucigalpa,14.1057,-87.2040,1157509
Kigali,-1.9536,30.0606,1156663
Samara,53.2028,50.1408,1156659
Yingtan,28.2721,117.0395,1154223
Edmonton,53.5344,-113.4903,1151635
Raleigh,35.8324,-78.6429,1150010
Bishkek,42.8667,74.5667,1145044
Bujumbura,-3.3833,29.3667,1143202
Guyuan,36.0100,106.2570,1142142
Leiyang,26.4223,112.8598,1140675
Krasnodar,45.0333,38.9667,1138654
Rostov,47.2225,39.7100,1135968
Maputo,-25.9153,32.5764,1133200
Bukavu,-2.5061,28.8608,1133000
Amritsar,31.6400,74.8600,1132383
Shagamu,6.8333,3.6500,1132270
Aligarh,27.8800,78.0800,1131160
Zhangye,38.9248,100.4499,1131016
Ufa,54.7261,55.9475,1128787
Santo Domingo,18.4764,-69.8933,1128678
Ulsan,35.5500,129.3167,1127553
Rongcheng,29.8402,112.9048,1120822
Tbilisi,41.7225,44.7925,1118035
Guwahati,26.1722,91.7458,1116267
Fes,34.0433,-5.0033,1112072
Yingchuan,34.1420,113.4890,1109782
Ninh Binh,20.2500,105.8333,1106913
Yerevan,40.1814,44.5144,1106300
Mwanza,-2.5167,32.9000,1104521
Omsk,54.9833,73.3667,1104485
Mexicali,32.6633,-115.4678,1102342
Sevilla,37.3900,-5.9900,1100000
Ikare,7.5167,5.7500,1099931
Dingzhou,38.5160,114.9900,1095986
Tamale,9.4075,-0.8533,1095808
Yuyao,30.0500,121.1500,1095000
Goiania,-16.6806,-49.2564,1093007
Krasnoyarsk,56.0089,92.8719,1092851
Cologne,50.9364,6.9528,1087353
